File Name,D:\我的库\desktop\81.txt
Start Date,29 五月 2016
Start Time,10:14:06

Sample #,X_GYRO (16 bit),Y_GYRO (16 bit),Z_GYRO (16  bit),X_ACCL (16  bit),Y_ACCL (16  bit),Z_ACCL (16  bit),X_MAGN (16 bit),Y_MAGN (16 bit),Z_MAGN (16 bit),ROLL _C23_OUT,PITCH_C31_OUT,YAW_C32_OUT
67,0.1000,-0.1000,-0.1800,-0.0056,-0.0136,0.9968,-29.6000,-254.8000,-204.4000,-0.8075,0.4010,154.9533
68,0.0600,0.0400,-0.1200,-0.0072,-0.0152,0.9952,-29.6000,-254.8000,-204.4000,-0.8075,0.4010,154.9478
69,0.1600,-0.1600,-0.1800,-0.0064,-0.0152,0.9960,-29.6000,-254.8000,-204.4000,-0.8075,0.4010,154.9478
70,-0.1000,0.1400,-0.1200,-0.0064,-0.0144,0.9968,-29.6000,-254.8000,-204.4000,-0.8075,0.4010,154.9478
71,0.1000,0.0200,-0.1400,-0.0064,-0.0160,0.9960,-29.6000,-254.8000,-204.4000,-0.8075,0.4010,154.9478
72,0.1600,0.0400,-0.2400,-0.0056,-0.0136,0.9968,-29.7000,-254.4000,-204.3000,-0.8075,0.4010,154.9478
73,0.0000,-0.0600,-0.1600,-0.0064,-0.0144,0.9960,-29.7000,-254.1000,-204.1000,-0.8075,0.4010,154.9478
74,-0.1000,-0.0800,-0.1000,-0.0080,-0.0128,0.9968,-29.7000,-254.1000,-204.1000,-0.8075,0.4010,154.9478
75,0.0000,0.2000,-0.1000,-0.0072,-0.0136,0.9960,-29.7000,-254.1000,-204.1000,-0.8075,0.4010,154.9478
76,0.0800,0.1200,-0.1600,-0.0064,-0.0128,0.9936,-29.7000,-254.1000,-204.1000,-0.8075,0.4010,154.9478
77,-0.1600,-0.1400,-0.2200,-0.0064,-0.0136,0.9944,-29.7000,-254.1000,-204.1000,-0.8075,0.4010,154.9478
78,0.0600,-0.2200,-0.1800,-0.0064,-0.0144,0.9952,-29.7000,-254.1000,-204.1000,-0.8075,0.4010,154.9478
79,0.4000,0.0400,0.0400,-0.0080,-0.0160,0.9944,-29.7000,-254.1000,-204.1000,-0.8075,0.4010,154.9478
80,0.2000,0.2200,-0.1400,-0.0072,-0.0136,0.9936,-29.7000,-254.1000,-204.1000,-0.8075,0.4010,154.9478
81,0.2000,-0.1800,0.0200,-0.0056,-0.0128,0.9960,-29.7000,-254.1000,-204.2000,-0.8075,0.4010,154.9478
82,0.1400,-0.1800,-0.1800,-0.0056,-0.0144,0.9968,-29.7000,-254.1000,-204.2000,-0.8075,0.4010,154.9478
83,0.1000,-0.2400,-0.0600,-0.0080,-0.0136,0.9944,-29.7000,-254.1000,-204.1000,-0.8075,0.4010,154.9478
84,0.0000,0.1000,-0.2000,-0.0072,-0.0136,0.9920,-29.6000,-252.8000,-204.9000,-0.8075,0.4010,154.9478
85,-0.1000,-0.1400,-0.0800,-0.0056,-0.0144,0.9952,-29.6000,-252.8000,-204.9000,-0.8075,0.4010,154.9478
86,-0.3400,0.0600,-0.1400,-0.0056,-0.0136,0.9952,-29.6000,-252.8000,-204.9000,-0.8075,0.4010,154.9478
87,0.0200,0.0200,-0.1200,-0.0048,-0.0136,0.9944,-29.6000,-252.8000,-204.9000,-0.8075,0.4010,154.9478
88,0.0400,-0.0600,0.0600,-0.0040,-0.0128,0.9968,-29.6000,-252.8000,-204.9000,-0.8075,0.3955,154.9478
89,0.0200,-0.0400,-0.0200,-0.0064,-0.0144,0.9968,-29.6000,-252.8000,-204.9000,-0.8075,0.3955,154.9478
90,0.0400,0.0400,-0.0200,-0.0064,-0.0152,0.9952,-29.6000,-252.8000,-204.9000,-0.8075,0.3955,154.9478
91,0.1000,-0.1200,0.0800,-0.0048,-0.0152,0.9960,-29.6000,-252.8000,-204.9000,-0.8075,0.3955,154.9478
92,0.0400,-0.0800,-0.0400,-0.0040,-0.0144,0.9944,-29.6000,-252.8000,-204.9000,-0.8075,0.3955,154.9478
